Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan to Value Ration (LVR),Max Loan Term,Max LVR with Mortgage Insurance,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Bank Australia,Premium Package Loan $700k+ (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-47938,FIXED,4.39%,479385,4.35%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-47937,VARIABLE,3.82,479370,4.17,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-pi-51135,FIXED,4.59%,511351,5.04%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-pi-51135,FIXED,4.19%,511352,4.96%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-pi-51135,FIXED,4.39%,511353,4.96%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-pi-51135,FIXED,4.69%,511355,5.04%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-pi-41953,VARIABLE,4.77,419530,5.10,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-io-51134,FIXED,4.79%,511341,5.46%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-io-51134,FIXED,4.39%,511342,5.35%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-io-51134,FIXED,4.59%,511343,5.34%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-io-51134,FIXED,4.89%,511345,5.38%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $700k+ - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-investment-io-49492,VARIABLE,4.97,494920,5.30,0,0,0,Variable,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$700000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,FALSE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47940,FIXED,4.09%,479401,4.59%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47940,FIXED,4.19%,479402,4.60%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47940,FIXED,4.14%,479403,4.58%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47940,FIXED,4.64%,479405,4.76%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-2068,VARIABLE,4.17,20680,4.51,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47936,FIXED,3.84%,479361,4.35%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47936,FIXED,3.79%,479362,4.33%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47936,FIXED,3.89%,479363,4.33%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47936,FIXED,4.39%,479365,4.52%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47935,VARIABLE,3.92,479350,4.27,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-51133,FIXED,4.59%,511331,5.04%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-51133,FIXED,4.19%,511332,4.96%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-51133,FIXED,4.39%,511333,4.96%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-51133,FIXED,4.69%,511335,5.04%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-41951,VARIABLE,4.87,419510,5.20,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-51132,FIXED,4.79%,511321,5.46%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-51132,FIXED,4.39%,511322,5.35%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-51132,FIXED,4.59%,511323,5.34%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-51132,FIXED,4.89%,511325,5.38%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $400k - $700k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-49491,VARIABLE,5.07,494910,5.40,0,0,0,Variable,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$400000.00,$699999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47939,FIXED,4.09%,479391,4.59%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47939,FIXED,4.19%,479392,4.60%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47939,FIXED,4.14%,479393,4.58%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47939,FIXED,4.64%,479395,4.76%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR >80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-2196,VARIABLE,4.27,21960,4.61,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47934,FIXED,3.84%,479341,4.35%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47934,FIXED,3.79%,479342,4.33%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47934,FIXED,3.89%,479343,4.33%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47934,FIXED,4.39%,479345,4.52%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k (LVR <80%),https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-47933,VARIABLE,4.02,479330,4.37,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,80%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,Same business day,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-41950,VARIABLE,4.97,419500,5.30,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-41949,FIXED,4.59%,419491,5.04%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-41949,FIXED,4.19%,419492,4.96%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-41949,FIXED,4.39%,419493,4.96%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-pi-41949,FIXED,4.69%,419495,5.04%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-49490,VARIABLE,5.17,494900,5.49,0,0,0,Variable,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$100000.00,$399999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-49489,FIXED,4.79%,494891,5.46%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-49489,FIXED,4.39%,494892,5.35%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-49489,FIXED,4.59%,494893,5.34%,3 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Package Loan $100k - $400k - Investment IO,https://www.infochoice.com.au/home-loans/bank-australia/premium-package-loan-k-k-investment-io-49489,FIXED,4.89%,494895,5.38%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$0,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Home Loan LVR >80%,https://www.infochoice.com.au/home-loans/bank-australia/premium-home-loan-lvr--2022,VARIABLE,4.82,20220,4.86,0,0,0,Variable,ResidentialProperty,Owner Occupiers,Principal & Interest  Interest Only,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$595.00,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Home Loan LVR <80%,https://www.infochoice.com.au/home-loans/bank-australia/premium-home-loan-lvr--2277,FIXED,3.99%,22771,4.78%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$595.00,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Home Loan LVR <80%,https://www.infochoice.com.au/home-loans/bank-australia/premium-home-loan-lvr--2277,FIXED,4.09%,22772,4.73%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$595.00,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Home Loan LVR <80%,https://www.infochoice.com.au/home-loans/bank-australia/premium-home-loan-lvr--2277,FIXED,4.04%,22773,4.66%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$595.00,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Home Loan LVR <80%,https://www.infochoice.com.au/home-loans/bank-australia/premium-home-loan-lvr--2277,FIXED,4.54%,22775,4.75%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$595.00,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Home Loan - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-home-loan-investment-pi-41948,VARIABLE,5.17,419480,5.21,0,0,0,Variable,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,TRUE,$0,$0,$0,,,,$595.00,$0,$0,$0,$0,$250.00,,
Bank Australia,Premium Home Loan - Investment P&I,https://www.infochoice.com.au/home-loans/bank-australia/premium-home-loan-investment-pi-41946,FIXED,4.74%,419461,5.17%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,0,80%,30,95%,$10000.00,$9999999.00,TRUE,TRUE,$500.00,TRUE,TRUE,0%,FALSE,$0,$0,$0,Same business day,,,$595.00,$0,$0,$0,$0,$250.00,,
