rc_code,if_code,mz_code
661046a1-b3ff-4ec8-a744-5743ffe99f21,187792,694 Fixed 2 year rate
baea6a71-7999-46c0-861a-424c411ebfaf,187793,694 Fixed 3 year rate
a3736726-08b8-428a-a69b-377f685c66c3,187795,694 Fixed 5 year rate
4e41e054-f2ec-488b-bc63-30b0dea9d7dd,484451,4189 Fixed 1 year rate
e78a85f6-217f-481f-a07b-820baf042fd3,484452,4189 Fixed 2 year rate
f3295b0a-fc4f-456b-851d-57f7ef149332,484453,4189 Fixed 3 year rate
3143f5cf-99c2-460b-a0fc-f922331e252b,484455,4189 Fixed 5 year rate
4f9da6e7-70e6-462d-b15e-6e6e4bf877a1,414451,2923 Fixed 1 year rate
23c4c83b-f56a-4db0-b1d7-8eac6098dff1,414452,2923 Fixed 2 year rate
a68c3596-da22-46bd-9eb2-494dd4a0bbe0,414453,2923 Fixed 3 year rate
77b3efd5-8cf7-46f3-bdac-fb53ea7d03bf,414455,2923 Fixed 5 year rate
c77ba58c-d8a2-489e-8d9c-558105437ffc,484430,0
f28261fe-db72-4c15-8268-a325a97650ad,18080,0
88cfba3d-4682-4120-b729-443d879a0761,484420,0
95dc3fdb-dfed-464c-b4d9-6dfa2de27b90,414430,0
5c245291-1d73-4c44-bf02-fea68f8639b2,484601,0
2345a47a-74a0-45df-8a7f-9d3d5d09607f,484602,4174 Fixed 2 year rate
d9453191-5164-4e35-98e4-99f7e783fd8c,484603,4174 Fixed 3 year rate
ad3e2f49-89a5-45ac-a0b7-d67723d4d63b,484605,4174 Fixed 5 year rate
c07ae7cb-9171-4c1d-a407-af6d3196932a,224971,0
ff4f2a91-82a8-4220-a638-eb5878feb03d,224972,65 Fixed 2 year rate
e861ee29-0a56-43f6-b85a-ec2443db01a8,224973,65 Fixed 3 year rate
d203d819-7f8c-4eb0-99df-315939223800,224975,65 Fixed 5 year rate
490386cd-17f5-4aa0-9b3d-d04e76de4d46,414501,0
296d1ad6-cb85-4ff7-a7aa-10f978d6cb1b,414502,0
828b50fc-8c3b-4da5-84d6-16e4c600001f,414503,0
c4ded1b3-20d2-4ed9-a9f7-ec879804eea1,414505,0
e6125325-0ddd-428b-83bc-680995e31cd7,484591,0
db7f4525-98e7-4244-9a36-49d21798e19a,484592,0
3d91ec9b-d229-4011-99b6-d16c042f0111,484593,0
686022d5-11f4-433e-9309-30e33cb96045,484595,0
