companyname,variationname,variationuuid,homeloantype,rate,comparisonrate,fixmonth,revertrate,introductoryrate,hasinvestmentpurpose,hasowneroccupiedpurpose,hasprincipalandinterest,hasinterestonly,hasweeklyrepayments,hasfortnightlyrepayments,hasmonthlyrepayments,minloanterm,maxlvr,maxloanterm,mintotalloanamount,maxtotalloanamount,extrarepaymentsallowed,hasoffsetaccount,hasredrawfacility,applicationfee,legalfee,valuationfee,settlementfee,dischargefee,IF Code,IF Product
NAB,Tailored Investment Loan Fixed (Principal and Interest) 1 Year,3bd85cad-7617-4152-b3f1-994e8dfb1b11,MATCH,MATCH,MATCH,MATCH,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 1000000,MATCH,MATCH,False vs TRUE,600 vs 0,MATCH,MATCH,0 vs 350,MATCH,428971,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest (Investment) 1 Year
NAB,Tailored Investment Loan Fixed (Principal and Interest) 4 Years,90370080-65a3-4951-854f-42a988253a12,MATCH,MATCH,MATCH,MATCH,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 1000000,MATCH,MATCH,False vs TRUE,600 vs 0,MATCH,MATCH,0 vs 350,MATCH,428974,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest (Investment) 4 Year
NAB,Tailored Investment Loan (Principal and Interest),bccb66cc-7855-4960-947a-f3605c605988,MATCH,5.80 vs 5.8,MATCH, vs 0,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,MATCH,600 vs 0,MATCH,MATCH,0 vs 350,MATCH,428870,NAB - NAB Tailored Home Loan Variable Rate - Principal and Interest (Investment)
NAB,Tailored Home Loan Fixed (Principal and Interest) 5 Years,3c26565f-fcba-4aad-98ed-b463cb4f0b0f,MATCH,MATCH,MATCH,MATCH,5.24 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 1000000,MATCH,MATCH,False vs TRUE,600 vs 0,MATCH,MATCH,0 vs 350,MATCH,20285,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest 5 Year
NAB,Tailored Home Loan Fixed (Principal and Interest) 4 Years,5969b9de-f0b2-46ee-adbd-cdc51b86b5b5,MATCH,MATCH,MATCH,MATCH,5.24 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 1000000,MATCH,MATCH,False vs TRUE,600 vs 0,MATCH,MATCH,0 vs 350,MATCH,20284,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest 4 Year
NAB,Tailored Home Loan Fixed (Principal and Interest) 1 Year,7efdbc22-75f8-42a5-9ccf-7597af634a8b,MATCH,MATCH,MATCH,MATCH,5.24 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 1000000,MATCH,MATCH,False vs TRUE,600 vs 0,MATCH,MATCH,0 vs 350,MATCH,20281,NAB - NAB Tailored Home Loan Fixed Rate - Principal and Interest 1 Year
NAB,Tailored Home Loan (Principal and Interest),33c1cb7d-e368-4871-b517-6cd88b07aa59,MATCH,MATCH,MATCH, vs 0,5.24 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,MATCH,600 vs 0,MATCH,MATCH,0 vs 350,MATCH,20270,NAB - NAB Tailored Home Loan Variable Rate - Principal and Interest
NAB,Portfolio Facility ($1m+),9309368c-96a5-46fc-90a8-f73d220ffaae,MATCH,MATCH,6.18 vs , vs 0,5.66 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,False vs True,False vs True,MATCH,1 vs 0,MATCH,30 vs 40,MATCH, vs 10000000,False vs TRUE,False vs TRUE,MATCH,MATCH,MATCH,MATCH,0 vs 350,MATCH,177210,NAB - NAB Portfolio Facility (LOC) - 1000000 and above Interest Only Investment
NAB,Flexiplus Mortgage,399af2bf-f693-487e-b4cf-b8baf1cc5ae1,MATCH,MATCH,6.72 vs , vs 0,6.44 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,False vs True,False vs True,MATCH,MATCH,MATCH,30 vs 40,20000 vs 150000, vs 10000000,False vs TRUE,MATCH,MATCH,MATCH,MATCH,MATCH,0 vs 350,MATCH,20290,NAB - NAB Flexiplus Mortgage Interest Only Investment
NAB,Choice Package Tailored Investment Loan Fixed (Principal and Interest) 4 Years,8c9fda6d-f141-46a7-a815-94d8ef36a087,MATCH,MATCH,MATCH,MATCH,5.2 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,False vs TRUE,MATCH,MATCH,MATCH,0 vs 350,MATCH,428854,NAB - NAB National Fixed Choice Package - Principal and Interest (Investment) 4 Year
NAB,Choice Package Tailored Investment Loan Fixed (Principal and Interest) 2 Years,2ce194d5-e0c5-4fd5-9f26-8a2465ce84e9,MATCH,MATCH,MATCH,MATCH,5.2 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,False vs TRUE,MATCH,MATCH,MATCH,0 vs 350,MATCH,428852,NAB - NAB National Fixed Choice Package - Principal and Interest (Investment) 2 Year
NAB,Choice Package Tailored Investment Loan (Principal and Interest) ($750k+),59da3f16-df27-428e-a1e7-af9bfdeecc8e,MATCH,4.90 vs 4.9,MATCH, vs 0,4.9 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,0 vs 350,MATCH,428750,NAB - NAB National Choice Package (750000 and above) - Principal and Interest (Investment)
NAB,Choice Package Tailored Investment Loan (Interest Only) ($250k-$750k),2f679b42-8754-4c07-a4ab-1a47af4416d3,MATCH,5.40 vs 5.4,MATCH, vs 0,5.4 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,False vs True,False vs True,MATCH,MATCH,MATCH,MATCH,250000 vs 500000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,0 vs 350,MATCH,428830,NAB - NAB National Choice Package (500000 to 749999) - Interest Only (Investment)
NAB,Choice Package Tailored Investment Loan (Interest Only) ($750k+),59e3a171-7aba-48bf-a1ea-a03b7637c0c5,MATCH,MATCH,MATCH, vs 0,5.35 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,False vs True,False vs True,MATCH,MATCH,MATCH,MATCH,MATCH, vs 10000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,0 vs 350,MATCH,428840,NAB - NAB National Choice Package (750000 and above) - Interest Only (Investment)
NAB,Choice Package Tailored Home Loan Fixed (Principal and Interest) 3 Years,7e6b1a33-d476-40a6-b4af-38c029a3d276,MATCH,MATCH,MATCH,MATCH,4.64 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,False vs TRUE,MATCH,MATCH,MATCH,0 vs 350,MATCH,208523,NAB - NAB National Fixed Choice Package - Principal and Interest 3 Year
NAB,Choice Package Tailored Home Loan Fixed (Principal and Interest) 1 Year,f9750b56-bac0-4d13-9a7b-01b08c818567,MATCH,MATCH,MATCH,MATCH,4.64 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,False vs TRUE,MATCH,MATCH,MATCH,0 vs 350,MATCH,208521,NAB - NAB National Fixed Choice Package - Principal and Interest 1 Year
NAB,Choice Package Tailored Home Loan (Principal and Interest) (Amounts < $250k),868bd2ea-006d-472e-ae82-95b63a193ff9,MATCH,MATCH,MATCH, vs 0,4.64 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,95 vs 80,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,0 vs 350,MATCH,18260,NAB - NAB National Choice Package (150000 to 249999) - Principal and Interest
NAB,Choice Package Tailored Home Loan (Interest Only) ($750k+),70394b36-62c3-4f00-b5d9-3662647b1287,MATCH,MATCH,MATCH, vs 0,4.87 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,False vs True,False vs True,MATCH,MATCH,MATCH,MATCH,MATCH, vs 10000000,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,0 vs 350,MATCH,428800,NAB - NAB National Choice Package (750000 and above) - Interest Only
NAB,Choice Package Tailored Home Loan (Interest Only) (Amounts < $250k),13462538-4706-411e-815a-c990515b74d7,MATCH,MATCH,MATCH, vs 0,5.17 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,False vs True,False vs True,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,0 vs 350,MATCH,428770,NAB - NAB National Choice Package (150000 to 249999) - Interest Only
NAB,Base Variable Home Loan (Principal and Interest),d82221ec-6a54-4569-adf5-69c3fdd5f884,MATCH,MATCH,MATCH, vs 0,3.69 vs 0,MATCH,MATCH,MATCH,MATCH,False vs True,MATCH,MATCH,MATCH,1 vs 0,95 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,MATCH,600 vs 0,MATCH,MATCH,0 vs 350,MATCH,21340,NAB - NAB Base Variable Rate Home Loan - Principal and Interest
ANZ,Standard Variable Home Loan (Principal and Interest),f97225eb-29c6-421a-94fb-c3db1b01f579,MATCH,5.20 vs 5.2,MATCH, vs 0,5.2 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,1 vs 0,95 vs 80,MATCH,MATCH, vs 10000000,MATCH,MATCH,MATCH,MATCH,MATCH,150 vs 0,160 vs 0,MATCH,17110,ANZ - ANZ Standard Variable Loan P&I Principal & Interest
ANZ,Fixed Rate Investment Loan (Interest in Advance Yearly) 4 Years,fd8cd67b-df20-4aa0-861c-a3a33c37f28f,MATCH,4.94 vs 5.04,5.57 vs 5.64,MATCH,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,1 vs 0,90 vs 80,MATCH,MATCH, vs 1000000,MATCH,True vs FALSE,MATCH,MATCH,MATCH,150 vs 0,160 vs 0,160 vs 0,431904,ANZ - ANZ Interest in Advance Loan - Yearly (without Breakfree) 4 Year Interest Only Investment
ANZ,Fixed Rate Investment Loan (Interest in Advance Yearly) 3 Years,6a952086-28e5-4ae8-ba07-1dca7836749b,MATCH,4.44 vs 4.64,5.5 vs 5.59,MATCH,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,1 vs 0,90 vs 80,MATCH,MATCH, vs 1000000,MATCH,True vs FALSE,MATCH,MATCH,MATCH,150 vs 0,160 vs 0,160 vs 0,431903,ANZ - ANZ Interest in Advance Loan - Yearly (without Breakfree) 3 Year Interest Only Investment
ANZ,Fixed Rate Investment Loan (Interest in Advance Yearly) 2 Years,9fb76b9b-251d-45ea-b261-193b6ef17d6f,MATCH,4.39 vs 4.54,5.59 vs 5.66,MATCH,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,1 vs 0,90 vs 80,MATCH,MATCH, vs 1000000,MATCH,True vs FALSE,MATCH,MATCH,MATCH,150 vs 0,160 vs 0,160 vs 0,431902,ANZ - ANZ Interest in Advance Loan - Yearly (without Breakfree) 2 Year Interest Only Investment
ANZ,Fixed Rate Investment Loan (Interest in Advance Yearly) 5 Years,792eddde-2da8-4e86-b11f-0e69ba4123aa,MATCH,4.94 vs 5.14,5.52 vs 5.63,MATCH,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,1 vs 0,90 vs 80,MATCH,MATCH, vs 1000000,MATCH,True vs FALSE,MATCH,MATCH,MATCH,150 vs 0,160 vs 0,160 vs 0,431905,ANZ - ANZ Interest in Advance Loan - Yearly (without Breakfree) 5 Year Interest Only Investment
ANZ,Fixed Rate Investment Loan (Principal and Interest) 7 Years ,c24167c2-cb19-4b57-b233-a466b5ff1954,MATCH,MATCH,6.99 vs 7.02,MATCH,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,90 vs 80,MATCH,MATCH, vs 10000000,True vs FALSE,MATCH,MATCH,MATCH,MATCH,150 vs 0,160 vs 0,MATCH,393907,ANZ - ANZ Fixed Loan Investment (without Breakfree Package) P&I 7 Year Principal & Interest
ANZ,Fixed Rate Investment Loan (Principal and Interest) 3 Years,00514b74-ef82-4223-89f5-42e8d092e6b2,MATCH,MATCH,5.49 vs 5.53,MATCH,5.8 vs 0,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,90 vs 80,MATCH,MATCH, vs 10000000,True vs FALSE,MATCH,MATCH,MATCH,MATCH,150 vs 0,160 vs 0,MATCH,393903,ANZ - ANZ Fixed Loan Investment (without Breakfree Package) P&I 3 Year Principal & Interest
