Company,Product,url,Home Loan Type,Rate,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan Term,Min Loan Amount,Max Loan Amount,Max Loan to Value Ration (LVR),Max LVR with Mortgage Insurance,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Split Available,Max No. of Accounts for Split,Separate Statements for Split,Statement Frequency,Fixed Option,Fee for Fixing,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee
Arab Bank,Essentials Home Loan,http://www.infochoice.com.au/home-loans/arab-bank/essentials-home-loan-32570/,VARIABLE,5.59,5.63,0,0,0,Variable,ResidentialProperty,Owner Occupiers Investors,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,0,30,$50000.00,$10000000.00,80%,95%,TRUE,TRUE,$300.00,TRUE,TRUE,0%,TRUE,$2000.00,$0,$50.00,,,FALSE,0,FALSE,2,FALSE,$0,$600.00,$0,$0,$0,$0,$250.00,
Arab Bank,12mth Head Start,http://www.infochoice.com.au/home-loans/arab-bank/mth-head-start-47942/,VARIABLE,5.49,4.64,0,0,4.15,Intro,ResidentialProperty,Owner Occupiers,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,2,30,$50000.00,$2000000.00,80%,95%,TRUE,FALSE,$0,FALSE,FALSE,0%,TRUE,$0,$0,$55.00,,,FALSE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$0,
Arab Bank,Fixed Rate Home Loan  -  Owner Occupied Loans Only,http://www.infochoice.com.au/home-loans/arab-bank/fixed-rate-home-loan---owner-occupied-loans-only-49857/,FIXED,4.15,5.40,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$15000.00,$10000000.00,80%,95%,FALSE,TRUE,$300.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,TRUE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$250.00,
Arab Bank,Fixed Rate Home Loan  -  Owner Occupied Loans Only,http://www.infochoice.com.au/home-loans/arab-bank/fixed-rate-home-loan---owner-occupied-loans-only-49857/,FIXED,3.99,5.25,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$15000.00,$10000000.00,80%,95%,FALSE,TRUE,$300.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,TRUE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$250.00,
Arab Bank,Fixed Rate Home Loan  -  Owner Occupied Loans Only,http://www.infochoice.com.au/home-loans/arab-bank/fixed-rate-home-loan---owner-occupied-loans-only-49857/,FIXED,4.14,5.17,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$15000.00,$10000000.00,80%,95%,FALSE,TRUE,$300.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,TRUE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$250.00,
Arab Bank,Fixed Rate Home Loan  -  Owner Occupied Loans Only,http://www.infochoice.com.au/home-loans/arab-bank/fixed-rate-home-loan---owner-occupied-loans-only-49857/,FIXED,4.51,5.19,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$15000.00,$10000000.00,80%,95%,FALSE,TRUE,$300.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,TRUE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$250.00,
Arab Bank,Fixed Rate Home Loan  -  Owner Occupied Loans Only,http://www.infochoice.com.au/home-loans/arab-bank/fixed-rate-home-loan---owner-occupied-loans-only-49857/,FIXED,4.65,5.18,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Principal & Interest Interest Only,Weekly Fortnightly Monthly,,1,30,$15000.00,$10000000.00,80%,95%,FALSE,TRUE,$300.00,FALSE,FALSE,0%,FALSE,$0,$0,$0,,,TRUE,n/a,FALSE,,FALSE,n/a,$600.00,$0,$0,$0,$8.00,$250.00,
Adelaide Bank,SmartSaver Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400/,FIXED,4.74,4.91,1 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,$10000.00,$50000.00,80%,80%,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,TRUE,3,TRUE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400/,FIXED,4.64,4.88,2 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,$10000.00,$50000.00,80%,80%,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,TRUE,3,TRUE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400/,FIXED,4.69,4.87,3 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,$10000.00,$50000.00,80%,80%,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,TRUE,3,TRUE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400/,FIXED,5.04,4.98,4 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,$10000.00,$50000.00,80%,80%,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,TRUE,3,TRUE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400/,FIXED,5.09,5.01,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,$10000.00,$50000.00,80%,80%,TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,TRUE,3,TRUE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52397/,VARIABLE,4.49,4.47,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,Maximum interest only period of up to 5 years Maximum LVR for interest only 80%,5,30,$10000.00,$5000000.00,80%,80%,TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,TRUE,3,FALSE,2,FALSE,n/a,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398/,FIXED,4.44,4.43,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,Interest Only max term 5 years Max interest only LVR 80%,5,30,$10000.00,$5000000.00,80%,80%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,TRUE,3,FALSE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398/,FIXED,4.35,4.42,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,Interest Only max term 5 years Max interest only LVR 80%,5,30,$10000.00,$5000000.00,80%,80%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,TRUE,3,FALSE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398/,FIXED,4.48,4.45,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,Interest Only max term 5 years Max interest only LVR 80%,5,30,$10000.00,$5000000.00,80%,80%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,TRUE,3,FALSE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398/,FIXED,4.74,4.54,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,Interest Only max term 5 years Max interest only LVR 80%,5,30,$10000.00,$5000000.00,80%,80%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,TRUE,3,FALSE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,http://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398/,FIXED,4.79,4.59,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,Interest Only max term 5 years Max interest only LVR 80%,5,30,$10000.00,$5000000.00,80%,80%,FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,TRUE,3,FALSE,2,FALSE,n/a,$325.00,$0,$0,$120.00,$0,$0,
