rc_id,if_id,mz_id,company,variationname,rc_value,other_value
3a052dee-fc88-49dc-9528-0553f76a643b,432330,3113,Qudos Bank,Qantas Points Investment Loan (LVR < 80%),True,TRUE
2478f475-b8c5-4545-8668-3cab5d43f040,432300,3112,Qudos Bank,Low Cost Investment Loan (LVR < 80%),True,TRUE
b5ac1be6-bb24-4bee-90cd-57aef8a949ec,432250,626,Qudos Bank,Variable Rate Home Loan (LVR < 90%),True,TRUE
a6994c75-52d7-49ab-b385-6820c8a709a1,341100,1488,Qudos Bank,Qantas Points Home Loan (LVR < 80%),True,TRUE
b47fb891-c6d5-4bcc-8417-9b9f61828bfb,200420,5011,Qudos Bank,Low Cost Home Loan (LVR 80%-90%),True,TRUE
8accfe39-0772-42c7-af23-2390fe0a516b,427022,31112,Qudos Bank,Fixed Rate Investment Loan 2 Years,False,FALSE
ed48744a-4fc0-4035-a56f-2ab461aa8e31,427023,31113,Qudos Bank,Fixed Rate Investment Loan 3 Years,False,FALSE
ade0ab88-6207-4050-bb09-98f1f8cb4a34,200335,6275,Qudos Bank,Fixed Rate Home Loan 5 Years,False,FALSE
b2abc94a-9a11-4215-8be4-8aa74be5b313,200334,6274,Qudos Bank,Fixed Rate Home Loan 4 Years,False,FALSE
36ed125a-5d40-4803-a82f-10adf9a210d2,200332,6272,Qudos Bank,Fixed Rate Home Loan 2 Years,False,FALSE
ea99bbd4-1433-4fa3-a6ce-e4e001db7eba,17290,4049,MOVE - People Driven Banking,Standard Variable Rate Investment Loan,True,TRUE
d7c5d247-66ca-493f-813e-aad92ced9964,22360,1094,MOVE - People Driven Banking,First Home Loan,True,TRUE
7cdbdf7f-3162-48b0-bb1e-b99fc7c8c7cb,516630,3029,UBank,Discount Offer for Investor Variable P&I Rate,False,FALSE
f5896b24-25bc-44de-9589-b719985ba05b,405740,5140,UBank,Discount Offer Variable Home Loan ($700k+),False,FALSE
29bca088-cf12-4f9b-b40a-4ae0ba449da3,196480,829,UBank,UHomeLoan - Standard Variable (Principal and Interest),False,FALSE
3dd93cf3-754b-4626-9969-0efdac75aab5,424011,22281,UBank,Inv UHomeLoan Fixed 1 Year,False,FALSE
1652b03f-60a7-4266-afd3-df6f2691bed0,424013,22283,UBank,Inv UHomeLoan Fixed 3 Years,False,FALSE
8fdb05c7-8f22-405e-b5bf-a7b098d57521,197673,8353,UBank,UHomeLoan Fixed (Principal and Interest) 3 Years,False,FALSE
e13e622d-ec45-4fbf-acfa-622552b056a3,528843,22263,UBank,UHomeLoan Fixed (Interest Only) 3 Years,False,FALSE
ca81f04a-77c5-4a5f-9804-449d4c06e8e2,528845,22265,UBank,UHomeLoan Fixed (Interest Only) 5 Years,False,FALSE
1274e732-43eb-47ab-8593-49a8526d10fb,403151,24941,Adelaide Bank,SmartFix Investment Loan (Principal and Interest) 1 Year,True,TRUE
02a86bc3-6711-410c-b2e7-3a94e963a1b3,403155,24945,Adelaide Bank,SmartFix Investment Loan (Principal and Interest) 5 Years,True,TRUE
0f291f0e-c1fc-482b-9bc0-78393982637c,403153,24943,Adelaide Bank,SmartFix Investment Loan (Principal and Interest) 3 Years,True,TRUE
8459b70a-42e2-467c-8675-f62321938d7e,25101,3961,Adelaide Bank,SmartFix Home Loan (Principal and Interest) 1 Year,True,TRUE
31a138cc-615c-4d91-880c-5b1b46afebfe,25105,3965,Adelaide Bank,SmartFix Home Loan (Principal and Interest) 5 Years,True,TRUE
5291e78e-add6-4e76-b142-71f4621b35ea,403200,2490,Adelaide Bank,SmartFit Investment Loan (Principal and Interest) (LVR < 90%),True,TRUE
8e66e49a-97a1-4f73-aea3-3a80065126d3,463643,38083,Bank of Sydney,Expect More Home Loan Package Fixed 3 Years,False,FALSE
5776daf9-2f5a-4bf7-b6ab-d21906dd94b3,463642,38082,Bank of Sydney,Expect More Home Loan Package Fixed 2 Years,False,FALSE
508e5ca0-738b-45a0-8741-c28ca448c164,199300,469,Bank of Sydney,Standard Variable Rate Home Loan,False,TRUE
fad80b81-6238-428a-a243-49410e2b05c0,485274,23514,Bananacoast Community Credit Union,Fixed Investment Loan (Principal and Interest) 4 Years,False,FALSE
71fe5153-3063-4de0-aeed-f74d2ccef2b7,485272,23512,Bananacoast Community Credit Union,Fixed Investment Loan (Principal and Interest) 2 Years,False,FALSE
e1c4d98f-77f4-4c51-abbe-6b8d2952ee35,485285,7415,Bananacoast Community Credit Union,Fixed Home Loan (Principal and Interest) 5 Years,False,FALSE
831337fd-8fb6-461b-a406-11dd21b9ec79,485283,7413,Bananacoast Community Credit Union,Fixed Home Loan (Principal and Interest) 3 Years,False,FALSE
c7f1635b-711c-4ea6-bc5c-6087013b66fb,485281,7411,Bananacoast Community Credit Union,Fixed Home Loan (Principal and Interest) 1 year,False,FALSE
ab18fe87-f6bd-4ed2-b0fc-2dbed1a8d8f2,21150,39,Heritage Bank,Living Equity,False,FALSE
aaf8a760-95f6-49de-8013-224658f70e9b,517980,5049,Heritage Bank,Home Advantage Variable Investment Loan (Principal and Interest) ($150k-$250k) (LVR 80%-90%) ,True,TRUE
e62977ee-eb5b-423d-b534-2bb300936a80,518000,5051,Heritage Bank,Home Advantage Variable Investment Loan (Principal and Interest) ($700k+) (LVR 80%-90%) ,True,TRUE
71b8bfc5-2b83-48eb-9802-41aa984ea66c,388620,1910,Heritage Bank,Home Advantage Variable Home Loan ($700k+) (LVR<80%),True,TRUE
1ab8abeb-670f-4a8e-8fb3-14f34a206f9a,513220,4892,Heritage Bank,Home Advantage Variable Home Loan ($150k-$250k) (LVR 80%-90%),True,TRUE
6546b3e1-f0ea-486a-b5f0-8de83595b58e,513240,4893,Heritage Bank,Home Advantage Variable Home Loan ($250k-$700k) (LVR 80%-90%),True,TRUE
0d66e9f5-6e0b-40bd-b661-dbaa806da39a,513260,4894,Heritage Bank,Home Advantage Variable Home Loan ($700k+) (LVR 80%-90%),True,TRUE
0dd2239b-06ca-4390-8760-41968958bff7,388590,1911,Heritage Bank,Home Advantage Living Equity Home Loan ($700k+),True,FALSE
dfb85014-0f54-48d3-bcd3-6f634eeed98e,25140,1904,Heritage Bank,Home Advantage Living Equity Home Loan ($150k-$250k),True,FALSE
b9870593-8d73-4c3e-ae77-a7799bfd128a,18191,19091,Heritage Bank,Home Advantage Fixed Home Loan 1 Year,True,TRUE
4258dfc9-4a24-4055-a62a-1a982af1c61e,18195,19095,Heritage Bank,Home Advantage Fixed Home Loan 5 Years,True,TRUE
1bf1d670-7ac9-40f2-a8ae-4c5e66b24fbb,18185,335,Heritage Bank,Fixed Rate Home Loan 5 Years,False,TRUE
8fdc93d8-8c13-44b3-89dd-f61ae00b2684,18182,332,Heritage Bank,Fixed Rate Home Loan 2 Years,False,TRUE
e1644066-4526-4b79-9843-881629f81ca6,449681,36531,ING,Orange Advantage Home Loan Fixed 1 Year,True,FALSE
73860f0f-d4e3-4a3d-bd56-494ec5b8d8d6,449685,36535,ING,Orange Advantage Home Loan Fixed 5 Years,True,FALSE
9b1196f3-8e4e-4717-817a-10f24b2543fb,449684,36534,ING,Orange Advantage Home Loan Fixed 4 Years,True,FALSE
efd4545a-1458-434b-8b41-360d4ddb0c79,394110,2096,ING,"Orange Advantage Investment Loan (Principal and Interest) ($150-$500k, LVR<80%)",True,TRUE
104607eb-c0c1-4f22-b95e-f242f6cf4403,155290,488,ING,Orange Advantage Home Loan (Principal and Interest) (Amounts < $150k),True,TRUE
de7edc5c-a280-40dd-ad9f-b7c711d04288,515240,4966,ING,"Orange Advantage Home Loan (Principal and Interest) ($1m+, LVR<80%)",True,TRUE
d66bcf7a-1de4-4def-bd7c-5d09ff855907,515210,4968,ING,"Orange Advantage Home Loan (Interest Only) ($1m+, LVR<80%) ",True,TRUE
7770ff21-5d1c-4685-a2e9-bf78fbceefa1,374550,4823,ING,"Mortgage Simplifier Home Loan (Principal and Interest) ($500k-$1m, LVR < 80%)",False,FALSE
f94df7c5-6ab7-4b35-9cd3-3045b70b251f,259290,978,ING,"Mortgage Simplifier Home Loan (Principal and Interest) ($150k-$500k, LVR 80%-90%)",False,FALSE
4a996fd8-de00-4033-a45b-2bee6e8927b3,394051,21161,ING,Fixed Rate Investment Loan 1 Year,False,FALSE
35cd3d65-d951-4714-a0ef-6032d4f36a93,394055,21165,ING,Fixed Rate Investment Loan 5 Years,False,FALSE
18f8ce03-2430-467f-9776-f296dda505bd,394053,21163,ING,Fixed Rate Investment Loan 3 Years,False,FALSE
26f5232d-8126-4511-9627-ced2e3e9713f,23633,11753,ING,Fixed Rate Home Loan 3 Years,False,FALSE
a771c83a-ce85-48cb-bd83-171b0495e04f,23631,11751,ING,Fixed Rate Home Loan 1 Year,False,FALSE
2620d5d4-7447-4bfc-b1ce-d8b23fdc419e,307640,1326,P&N Bank,Smooth Home Loan (LVR < 80%),False,FALSE
aa8da500-5a7f-401c-92cf-4c02c09410c2,23244,14404,P&N Bank,Fixed Rate Home Loan 4 Years (LVR 80%-95%),False,FALSE
7662bcfb-8dbc-4c2b-8434-402bda85d128,307654,5494,P&N Bank,Fixed Rate Home Loan 4 Years (LVR < 80%),False,FALSE
2f0ef0a7-070e-4e9d-a491-1cd4b49efe7e,307652,5492,P&N Bank,Fixed Rate Home Loan 2 Years (LVR < 80%),False,FALSE
9385cd9d-75b7-4b0f-bf91-fc93476805bb,307655,5495,P&N Bank,Fixed Rate Home Loan 5 Years (LVR < 80%),False,FALSE
ba9bffb7-05d4-4991-bf70-f55f412b491b,307651,5491,P&N Bank,Fixed Rate Home Loan 1 Year (LVR < 80%),False,FALSE
dda3a148-8789-467b-9543-5d0441744cc5,409490,3100,P&N Bank,& Home Loan ,True,TRUE
6f1be785-710f-4c88-a0ab-212344a72db8,344192,18192,Australian Military Bank,Fixed Rate Investment Loan 2 Years (LVR < 80%),False,FALSE
f4afed78-70c2-4769-873a-3fb50454bd1e,313882,16582,Australian Military Bank,Fixed Rate Home Loan 2 Years,False,FALSE
b27bad32-b625-48ab-a8a4-409b4e546e95,414550,4180,AMP Bank,Professional Package Investment Loan (Interest Only) ($250k-$750k),True,TRUE
f4fba860-0e39-4cd8-bbce-b1c87271ece5,414540,4179,AMP Bank,Professional Package Investment Loan (Interest Only) ($100k-$250k),True,TRUE
d7138108-e359-4a99-865e-fd6dd947e034,20331,41841,AMP Bank,Professional Package Home Loan Fixed (Interest Only) 1 Year,False,FALSE
02a27149-ab84-42c5-969d-9e1838cad5f7,20335,41845,AMP Bank,Professional Package Home Loan Fixed (Interest Only) 5 Years,False,FALSE
d59a4b0e-effb-4c6c-b0a2-a4c1f0a32430,20930,4176,AMP Bank,Professional Package Home Loan (Interest Only) ($100k-$250k),True,TRUE
5f3e6a3a-d759-4540-b607-316c0bb29fbb,414460,4187,AMP Bank,Introductory Classic Investment Loan (Interest Only),True,TRUE
a7edb20c-e58a-4841-abda-8c6eca6bd04d,414480,4183,AMP Bank,Classic Variable Investment Loan (Interest Only),True,TRUE
ad3e2f49-89a5-45ac-a0b7-d67723d4d63b,484605,41745,AMP Bank,Classic Fixed Home Loan (Interest Only) 5 Years,False,FALSE
d9453191-5164-4e35-98e4-99f7e783fd8c,484603,41743,AMP Bank,Classic Fixed Home Loan (Interest Only) 3 Years,False,FALSE
e78a85f6-217f-481f-a07b-820baf042fd3,484452,41892,AMP Bank,Basic Fixed Rate Investment Loan (Interest Only) 2 Years,False,FALSE
3143f5cf-99c2-460b-a0fc-f922331e252b,484455,41895,AMP Bank,Basic Fixed Rate Investment Loan (Interest Only) 5 Years,False,FALSE
0661a1c2-19b6-43ef-a748-ba5a6346b328,484462,41882,AMP Bank,Basic Fixed Rate Home Loan (Interest Only) 2 Years,False,FALSE
12af0812-ad77-441a-b86d-077fdd6a7ed2,484465,41885,AMP Bank,Basic Fixed Rate Home Loan (Interest Only) 5 Years,False,FALSE
ae8665b7-7844-4575-92d9-34b052125754,394630,2936,AMP Bank,Professional Package Line of Credit Investment Loan ($750k+),False,FALSE
b0e20634-ae8c-4c26-9adb-1ac61b50f1db,19840,2104,AMP Bank,Professional Package Line of Credit Home Loan ($250k-$750k),False,FALSE
0f350e8c-224e-47cd-932c-d7a1b2521db1,394620,1759,AMP Bank,Professional Package Line of Credit Home Loan ($750k+),False,FALSE
439f04c6-7172-447c-a87c-fae8f0a55ac6,484500,2925,AMP Bank,Professional Package Investment Loan (Principal and Interest) ($250k-$750k),True,TRUE
e4cd8f4d-6487-408d-b365-66d844fe6737,484481,741,AMP Bank,Professional Package Home Loan Fixed (Principal and Interest) 1 Year,False,FALSE
cd666b23-1cee-4411-a28e-6db20b005a7b,484485,745,AMP Bank,Professional Package Home Loan Fixed (Principal and Interest) 5 Years,False,FALSE
72b1719c-66f9-4108-a37b-51839d19c0a4,484530,2103,AMP Bank,Professional Package Home Loan (Principal and Interest) ($500k-$750k),True,TRUE
300eb9e4-0779-4173-8713-03d9b3f6afc0,484520,66,AMP Bank,Professional Package Home Loan (Principal and Interest) ($100k-$250k),True,TRUE
d625f56d-d471-4d94-815b-d10b0d0e42c4,484550,2943,AMP Bank,Introductory Classic Investment Loan (Principal and Interest),True,TRUE
0415a3c0-6073-49e1-b1cc-79d6b7ea239e,481100,2875,AMP Bank,Essential Home Loan ($40k-$100k),False,FALSE
e450bccd-4645-448e-882b-258b81a43b33,126620,73,AMP Bank,Classic Variable Home Loan (Principal and Interest),True,TRUE
62c4274b-976e-429f-8ff6-1f8c9cf3ac34,188320,72,AMP Bank,Classic Line of Credit Home Loan,False,FALSE
ff4f2a91-82a8-4220-a638-eb5878feb03d,224972,652,AMP Bank,Classic Fixed Home Loan (Principal and Interest) 2 Years,False,FALSE
23c4c83b-f56a-4db0-b1d7-8eac6098dff1,414452,29232,AMP Bank,Basic Fixed Rate Investment Loan (Principal and Interest) 2 Years,False,FALSE
4f9da6e7-70e6-462d-b15e-6e6e4bf877a1,414451,29231,AMP Bank,Basic Fixed Rate Investment Loan (Principal and Interest) 1 Year,False,FALSE
661046a1-b3ff-4ec8-a744-5743ffe99f21,187792,6942,AMP Bank,Basic Fixed Rate Home Loan (Principal and Interest) 2 Years,False,FALSE
a3736726-08b8-428a-a69b-377f685c66c3,187795,6945,AMP Bank,Basic Fixed Rate Home Loan (Principal and Interest) 5 Years,False,FALSE
f9304809-60b0-41c1-be46-d5baf78e2be7,389970,1974,Aussie,"Select Standard Variable Investment Loan (Principal and Interest) ($500k+, LVR 80%-90%)",False,FALSE
9a35a64e-ac7a-488e-931f-07b568d9a3b4,359230,1528,Aussie,"Select Standard Variable Home Loan (Principal and Interest) ($500k+, LVR 80%-90%)",False,FALSE
359dc808-594c-4c99-b482-d74ad05dd932,390135,22805,Aussie,Select Standard Investment Loan Fixed (Principal and Interest) 5 Years,False,FALSE
81ff5c3a-e1f7-4792-a1ae-fef92d540cfe,390132,22802,Aussie,Select Standard Investment Loan Fixed (Principal and Interest) 2 Years,False,FALSE
1358efd7-d4e2-4125-9fd7-54676155628d,390133,22803,Aussie,Select Standard Investment Loan Fixed (Principal and Interest) 3 Years,False,FALSE
cad874ce-d3dd-49a6-9c98-a28ceb98ba29,238995,15405,Aussie,Select Standard Home Loan Fixed (Principal and Interest) 5 Years,False,FALSE
946ff986-ef8f-4e36-b60f-1bb4b546e417,238991,15401,Aussie,Select Standard Home Loan Fixed (Principal and Interest) 1 Year,False,FALSE
1d7d08fd-f2be-4921-9977-ed03088f341e,389520,3973,Aussie,Select Line of Credit Investment Loan (LVR < 80%),False,FALSE
77d16920-052b-4bb5-b859-c3fedf6a4469,359440,3970,Aussie,Select Line of Credit Home Loan (LVR 80%-90%),False,FALSE
8674bd70-f876-45cb-b765-792e92aa7485,389480,1966,Aussie,"Select Basic Investment Loan (Principal and Interest) ($500k+, LVR 80%-90%)",False,FALSE
a9d97b65-cd41-48b9-8682-732769c2e23b,358220,1529,Aussie,"Select Basic Home Loan (Principal and Interest) ($500k+, LVR 80%-90%)",False,FALSE
eab1c0e9-c179-4efb-a851-0fc8807a92dc,358250,1531,Aussie,"Select Basic Home Loan (Principal and Interest) ($500k+, LVR 90%-95%)",False,FALSE
