Company,Product,url,Home Loan Type,Rate,CodeID,Comparison Rate,Fixed Months,Revert Rate,Introductory Rate,Loan Type,Security Type,Availability,Repayment Options,Repayment Frequency,Interest Rate Notes,Min Loan Term,Max Loan Term,Min Loan Amount,Max Loan Amount,Extra Repayments,Loan is Transferable (Portable),Transfer Fee,Mortgage Offset Available,Mortgage Offset 100%,Mortgage Offset Rate,Redraw Available,Min Redraw Amount,Max Redraw Amount,Redraw Fee,Redraw Notice Period,Redraw Method,Redraw Notes & Comments,Application Fee,Legal Fee,Valuation Fee,Settlement Fee,Service Fee,Exit Fee,Early Termination Fee
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,5.04%,52400,4.98%,4 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$50,000.00",TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52400,FIXED,5.09%,52400,5.01%,5 Year,0,0,Fixed,ResidentialProperty,Investors,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$50,000.00",TRUE,TRUE,$0,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-interest-only-52397,VARIABLE,4.49,52397,4.47,0,0,0,Basic,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",TRUE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$500.00,$0,$0,,Internet,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.44%,52398,4.43%,1 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.35%,52398,4.42%,2 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.48%,52398,4.45%,3 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.74%,52398,4.54%,4 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed Interest Only,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-interest-only-52398,FIXED,4.79%,52398,4.59%,5 Year,0,0,Fixed,ResidentialProperty,Owner Occupiers,Interest Only,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,FALSE,$500.00,$0,$0,,,,$325.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.27%,50061,4.87%,1 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
Adelaide Bank,SmartSaver Fixed,https://www.infochoice.com.au/home-loans/adelaide-bank/smartsaver-fixed-50061,FIXED,4.45%,50061,4.85%,2 Year,0,0,Fixed,ResidentialProperty,Investors,Principal & Interest,Weekly Fortnightly Monthly,,5,30,"$10,000.00","$5,000,000.00",FALSE,TRUE,$350.00,FALSE,FALSE,0%,TRUE,$1.00,$500.00,$0,,,,$375.00,$0,$0,$120.00,$0,$0,
