firstdayeachmonth,is monetised,Annualised Monthly Ongoing Fee,Average Annual Fee,Rates Owner-occupied,Company Name + Variation Name,Loan 350k 5% Deposit,Loan 350k 10% Deposit,Loan 350k 30% Deposit ,Loan 350k 20% Deposit,LVR 05% Deposit,LVR 10% Deposit,LVR 30% Deposit,Loan Deposit Parameters,Rates Investor,Rate at 300k,LVR 20% Deposit,Rate at 500k,Rate at 350k,Rate at 750k,allowssplitloan,annualfees,applicationfee,applicationfees,collectiondate,companyname,comparisonrate,dischargefee,extrarepaymentsallowed,extrarepaymentsvalue,familyname,fixmonth,gotositeenabled,gotositeurl,hasfortnightlyrepayments,hasinterestonly,hasintroductoryrate,hasinvestmentpurpose,hasmonthlyrepayments,hasoffsetaccount,hasowneroccupiedpurpose,hasprincipalandinterest,hasredrawfacility,hasrepayholiday,hasweeklyrepayments,homeloantype,introductoryrate,introductoryterm,legalfee,maxloanterm,maxlvr,maxtotalloanamount,minloanterm,minlvr,minredrawamount,mintotalloanamount,monthlyfees,rate,revertrate,settlementfee,upfrontfee,valuationfee,variationname,variationuuid
False,0,,,,"Click Loans - The Online Investor Home Loan ($150k-$500k, LVR 80%-90%)",,4.48,,4.48,,4.48,,,4.48,4.48,4.48,,4.48,,True,0,0,0,2/04/2018,Click Loans,4.51,250,True,0,The Online Loan,,False,,True,True,False,True,True,False,False,True,True,False,False,VARIABLE,0,0,440,30,90,499999,10,80,,150000,0,4.48,4.48,0,440,0,"The Online Investor Home Loan ($150k-$500k, LVR 80%-90%)",412f87d5-1668-4fc6-b680-7044ea85fbd5
False,0,,,,"Click Loans - The Online Investor Home Loan ($750-$1.5m, LVR < 70%)",,,,,,,3.94,3.94,3.94,,,,,3.94,True,0,0,0,2/04/2018,Click Loans,3.97,250,True,0,The Online Loan,,False,,True,True,False,True,True,False,False,True,True,False,False,VARIABLE,0,0,440,30,70,1499999,10,,,750000,0,3.94,3.94,0,440,0,"The Online Investor Home Loan ($750-$1.5m, LVR < 70%)",f16f7e78-d45b-442c-9203-18c0cddf45f1
False,0,,,,"Click Loans - The Online Investor Home Loan ($150k-$500k, LVR < 70%)",,,4.04,,,,4.04,,4.04,4.04,,,4.04,,True,0,0,0,2/04/2018,Click Loans,4.07,250,True,0,The Online Loan,,False,,True,True,False,True,True,False,False,True,True,False,False,VARIABLE,0,0,440,30,70,499999,10,,,150000,0,4.04,4.04,0,440,0,"The Online Investor Home Loan ($150k-$500k, LVR < 70%)",54c62a13-755f-40f0-ba8f-ef88a97ed025
False,0,,,,"Click Loans - The Online Investor Home Loan ($500k-$750k, LVR < 70%)",,,,,,,3.94,,3.94,,,3.94,,,True,0,0,0,2/04/2018,Click Loans,3.97,250,True,0,The Online Loan,,False,,True,True,False,True,True,False,False,True,True,False,False,VARIABLE,0,0,440,30,70,749999,10,,,500000,0,3.94,3.94,0,440,0,"The Online Investor Home Loan ($500k-$750k, LVR < 70%)",0b24910a-1473-4f60-a475-3ac1e118ed51
False,0,,,4.48,"Click Loans - The Online Home Loan ($150k-$500k, LVR 90%-95%)",4.48,4.48,,,4.48,4.48,,,,4.48,,,4.48,,True,0,0,0,2/04/2018,Click Loans,4.51,250,True,0,The Online Loan,,False,,True,True,False,False,True,False,True,True,True,False,False,VARIABLE,0,0,440,30,95,499999,10,90,,150000,0,4.48,4.48,0,440,0,"The Online Home Loan ($150k-$500k, LVR 90%-95%)",cc7aec2e-cc32-4de2-a980-4f9cc2ffc727
False,0,,,3.73,"Click Loans - The Online Home Loan ($750k-$1.5m, LVR < 70%)",,,,,,,3.73,3.73,,,,,,3.73,True,0,0,0,2/04/2018,Click Loans,3.76,250,True,0,The Online Loan,,False,,True,True,False,False,True,False,True,True,True,False,False,VARIABLE,0,0,440,30,70,1499999,10,,,750000,0,3.73,3.73,0,440,0,"The Online Home Loan ($750k-$1.5m, LVR < 70%)",31faafcb-5325-4886-bb0e-2744460955f7
False,0,,,3.73,"Click Loans - The Online Home Loan ($500k-$750k, LVR < 70%)",,,,,,,3.73,,,,,3.73,,,True,0,0,0,2/04/2018,Click Loans,3.76,250,True,0,The Online Loan,,False,,True,True,False,False,True,False,True,True,True,False,False,VARIABLE,0,0,440,30,70,749999,10,,,500000,0,3.73,3.73,0,440,0,"The Online Home Loan ($500k-$750k, LVR < 70%)",d60ac977-77c6-4c74-b2b9-f9eaf53e920f
False,0,,,4.38,"Click Loans - The Online Home Loan ($500k-$750k, LVR 80%-90%)",,,,,,4.38,,,,,4.38,4.38,,,True,0,0,0,2/04/2018,Click Loans,4.41,250,True,0,The Online Loan,,False,,True,True,False,False,True,False,True,True,True,False,False,VARIABLE,0,0,440,30,90,749999,10,80,,500000,0,4.38,4.38,0,440,0,"The Online Home Loan ($500k-$750k, LVR 80%-90%)",269e03db-9437-445f-962d-d0f292c0a008
False,0,,,4.04,"Click Loans - Basic Home Loan ($500k-$750k, LVR 70%-80%)",,,,,,,4.04,,,,4.04,4.04,,,True,0,0,0,2/04/2018,Click Loans,4.07,250,True,0,Basic Loan,,False,,True,True,False,False,True,False,True,True,True,False,False,VARIABLE,0,0,440,30,80,749999,10,70,,500000,0,4.04,4.04,0,440,0,"Basic Home Loan ($500k-$750k, LVR 70%-80%)",6ac5fb8b-4a8e-4c67-af5e-9de5d1cff520
False,0,,,4.04,"Click Loans - Basic Home Loan ($750k-$1.5m, LVR 70%-80%)",,,,,,,4.04,4.04,,,4.04,,,4.04,True,0,0,0,2/04/2018,Click Loans,4.07,250,True,0,Basic Loan,,False,,True,True,False,False,True,False,True,True,True,False,False,VARIABLE,0,0,440,30,80,1499999,10,70,,750000,0,4.04,4.04,0,440,0,"Basic Home Loan ($750k-$1.5m, LVR 70%-80%)",1dae1cb9-046d-4408-b1ed-f3fc03a41f76
False,0,,,,"Click Loans - The Online Investor Offset ($1.5m+, LVR < 70%)",,,,,,,4.32,,4.32,,,,,,True,198,0,0,2/04/2018,Click Loans,4.51,400,True,0,The Online Offset Loan,,False,,True,True,False,True,True,True,False,True,True,False,False,VARIABLE,0,0,363,30,70,5000000,10,,,1500000,0,4.32,4.32,0,363,0,"The Online Investor Offset ($1.5m+, LVR < 70%)",913eaa3e-af35-4ea0-bd5d-f09c7102638e
False,0,,,,"Click Loans - The Online Investor Offset ($150k-$500k, LVR < 70%)",,,4.37,,,,4.37,,4.37,4.37,,,4.37,,True,198,0,0,2/04/2018,Click Loans,4.56,400,True,0,The Online Offset Loan,,False,,True,True,False,True,True,True,False,True,True,False,False,VARIABLE,0,0,363,30,70,499999,10,,,150000,0,4.37,4.37,0,363,0,"The Online Investor Offset ($150k-$500k, LVR < 70%)",804e6327-a226-483e-950f-0367244c1206
False,0,,,,"Click Loans - The Online Investor Offset ($750k-$1.5m, LVR < 70%)",,,,,,,4.37,4.37,4.37,,,,,4.37,True,198,0,0,2/04/2018,Click Loans,4.51,400,True,0,The Online Offset Loan,,False,,True,True,False,True,True,True,False,True,True,False,False,VARIABLE,0,0,363,30,70,1499999,10,,,750000,0,4.37,4.37,0,363,0,"The Online Investor Offset ($750k-$1.5m, LVR < 70%)",88a9c68c-3eb1-469e-a312-aca3eafe7f3d
False,0,,,,"Click Loans - Offset Investment Loan ($500k-$750k, LVR 90%-95%)",,,,,4.89,4.89,,,4.89,,,4.89,,,True,198,0,0,2/04/2018,Click Loans,5.11,400,True,0,Offset Loan,,False,,True,True,False,True,True,True,False,True,True,False,False,VARIABLE,0,0,363,30,95,749999,10,90,,500000,0,4.89,4.89,0,363,0,"Offset Investment Loan ($500k-$750k, LVR 90%-95%)",f801ce7a-a764-48f9-b76a-dc77c25927ce
False,0,,,4.22,"Click Loans - The Online Offset Home Loan ($500k-$750k, LVR 80%-90%)",,,,,,4.22,,,,,4.22,4.22,,,True,198,0,0,2/04/2018,Click Loans,4.41,400,True,0,The Online Offset Loan,,False,,True,True,False,False,True,True,True,True,True,False,False,VARIABLE,0,0,363,30,90,749999,10,80,,500000,0,4.22,4.22,0,363,0,"The Online Offset Home Loan ($500k-$750k, LVR 80%-90%)",7d678c6c-7825-4dbf-aacc-002e790a49b2
False,0,,,3.91,Click Loans - The Online Offset Home Loan,,,3.91,,,,3.91,3.91,,3.91,,3.91,3.91,3.91,True,198,0,0,2/04/2018,Click Loans,4.14,400,True,0,The Online Offset Loan,,False,,True,True,False,False,True,True,True,True,True,False,False,VARIABLE,0,0,363,30,70,750000,10,,,150000,0,3.91,3.91,0,363,0,The Online Offset Home Loan,a28b48bd-4e83-4bb3-b012-f566210c0f1a
False,0,,,3.84,Click Loans - The Online Offset Home Loan (LVR 70%-75%),,,3.84,,,,3.84,3.84,,3.84,,3.84,3.84,3.84,True,198,0,0,2/04/2018,Click Loans,4.06,400,True,0,The Online Offset Loan,,False,,True,True,False,False,True,True,True,True,True,False,False,VARIABLE,0,0,363,30,75,1500000,10,70,,100000,0,3.84,3.84,0,363,0,The Online Offset Home Loan (LVR 70%-75%),4c5964c6-7863-4e0a-b030-c22bfc3e894f
False,0,,,3.99,"Click Loans - The Online Offset Home Loan ($750k-$1.5m, LVR < 70%)",,,,,,,3.99,3.99,,,,,,3.99,True,198,0,0,2/04/2018,Click Loans,4.27,400,True,0,The Online Offset Loan,,False,,True,True,False,False,True,True,True,True,True,False,False,VARIABLE,0,0,363,30,70,1499999,10,,,750000,0,3.99,3.99,0,363,0,"The Online Offset Home Loan ($750k-$1.5m, LVR < 70%)",38b94405-7756-4183-b692-c5d2ee0a3714
False,0,,,3.73,Click Loans - The Online Offset Home Loan (LVR < 70%),,,3.73,,,,3.73,3.73,,3.73,,3.73,3.73,3.73,True,198,0,0,2/04/2018,Click Loans,3.96,400,True,0,The Online Offset Loan,,False,,True,True,False,False,True,True,True,True,True,False,False,VARIABLE,0,0,363,30,70,2000000,10,,,100000,0,3.73,3.73,0,363,0,The Online Offset Home Loan (LVR < 70%),052f65cc-46a8-4fa3-bf7d-a4927e648a38
False,0,,,3.84,"Click Loans - The Online Offset Home Loan ($150k-$500k, LVR < 70%)",,,3.84,,,,3.84,,,3.84,,,3.84,,True,198,0,0,2/04/2018,Click Loans,4.04,400,True,0,The Online Offset Loan,,False,,True,True,False,False,True,True,True,True,True,False,False,VARIABLE,0,0,363,30,70,499999,10,,,150000,0,3.84,3.84,0,363,0,"The Online Offset Home Loan ($150k-$500k, LVR < 70%)",e5f1ebd1-9e3a-4500-b779-0775beb77622
False,0,,,,"Click Loans - The Online Investor Offset ($150k-$500k, LVR 70%-80%)",,,4.37,4.37,,,4.37,,4.37,4.37,4.37,,4.37,,True,198,0,0,2/04/2018,Click Loans,4.56,400,True,0,The Online Offset Loan,,False,,True,True,False,True,True,True,False,True,True,False,False,VARIABLE,0,0,363,30,80,499999,10,70,,150000,0,4.37,4.37,0,363,0,"The Online Investor Offset ($150k-$500k, LVR 70%-80%)",20cd762b-b27e-4db0-b0f6-a3765049f197
False,0,,,,"Click Loans - The Online Investor Offset ($750k-$1.5m, LVR 70%-80%)",,,,,,,4.32,4.32,4.32,,4.32,,,4.32,True,198,0,0,2/04/2018,Click Loans,4.51,400,True,0,The Online Offset Loan,,False,,True,True,False,True,True,True,False,True,True,False,False,VARIABLE,0,0,363,30,80,1499999,10,70,,750000,0,4.32,4.32,0,363,0,"The Online Investor Offset ($750k-$1.5m, LVR 70%-80%)",ca9b804d-2f70-4130-803c-a534eb92375a
False,0,,,4.07,"Click Loans - The Online Offset Home Loan ($1.5m+, LVR 70%-80%)",,,,,,,4.07,,,,4.07,,,,True,198,0,0,2/04/2018,Click Loans,4.27,400,True,0,The Online Offset Loan,,False,,True,True,False,False,True,True,True,True,True,False,False,VARIABLE,0,0,363,30,80,5000000,10,70,,1500000,0,4.07,4.07,0,363,0,"The Online Offset Home Loan ($1.5m+, LVR 70%-80%)",ef66c792-f241-4c75-a1cd-0e894baaf4a3
False,0,,,3.84,"Click Loans - The Online Offset Home Loan ($150k-$500k, LVR 70%-80%)",,,3.84,3.84,,,3.84,,,3.84,3.84,,3.84,,True,198,0,0,2/04/2018,Click Loans,4.32,400,True,0,The Online Offset Loan,,False,,True,True,False,False,True,True,True,True,True,False,False,VARIABLE,0,0,363,30,80,499999,10,70,,150000,0,3.84,3.84,0,363,0,"The Online Offset Home Loan ($150k-$500k, LVR 70%-80%)",5c349d81-886a-4565-b3e2-5f43aa1c5930
False,0,,,,Click Loans - The Online Offset Investment Loan (LVR 75%-80%),,,,3.89,,,,,3.89,3.89,3.89,3.89,3.89,3.89,True,0,0,0,2/04/2018,Click Loans,3.92,250,True,0,The Online Offset Loan,,False,,True,False,False,True,True,True,False,True,True,True,True,VARIABLE,0,0,440,30,80,2000000,10,75,,100000,0,3.89,3.89,0,440,0,The Online Offset Investment Loan (LVR 75%-80%),41520506-7dbd-4252-86f0-99ae346240f3
False,0,,,,Click Loans - The Online Offset Investment Loan (LVR 70%-75%),,,4.04,,,,4.04,4.04,4.04,4.04,,4.04,4.04,4.04,True,0,0,0,2/04/2018,Click Loans,4.07,250,True,0,The Online Offset Loan,,False,,True,False,False,True,True,True,False,True,True,True,True,VARIABLE,0,0,440,30,75,2000000,10,70,,100000,0,4.04,4.04,0,440,0,The Online Offset Investment Loan (LVR 70%-75%),16283637-55be-4743-83a1-8accbac52d65
False,0,,,,Click Loans - Online Prime Investment Loan (LVR < 70%),,,4.12,,,,4.12,4.12,4.12,4.12,,4.12,4.12,4.12,True,0,0,0,2/04/2018,Click Loans,4.15,250,True,0,Online Prime Loan,,False,,True,False,False,True,True,True,False,True,True,True,True,VARIABLE,0,0,440,30,70,2000000,10,,,100000,0,4.12,4.12,0,440,0,Online Prime Investment Loan (LVR < 70%),0189f832-dc00-4518-8017-1d164a745a99
False,0,,,4.12,Click Loans - Online Prime Home Loan (LVR 70%-75%),,,4.12,,,,4.12,4.12,,4.12,,4.12,4.12,4.12,True,0,0,0,2/04/2018,Click Loans,4.15,250,True,0,Online Prime Loan,,False,,True,False,False,False,True,True,True,True,True,True,True,VARIABLE,0,0,440,30,75,2000000,10,70,,100000,0,4.12,4.12,0,440,0,Online Prime Home Loan (LVR 70%-75%),479c04b9-db21-40e0-9389-7a697ba5ce13
False,0,,,4.12,Click Loans - Online Prime Home Loan (LVR 75%-80%),,,,4.12,,,,,,4.12,4.12,4.12,4.12,4.12,True,0,0,0,2/04/2018,Click Loans,4.15,250,True,0,Online Prime Loan,,False,,True,False,False,False,True,True,True,True,True,True,True,VARIABLE,0,0,440,30,80,2000000,10,75,,100000,0,4.12,4.12,0,440,0,Online Prime Home Loan (LVR 75%-80%),86a79239-b37f-4b55-9314-b921bc61349d
False,0,,,,Click Loans - The Online Investor Fixed 5 Years,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,True,0,0,0,2/04/2018,Click Loans,4.72,400,True,0,The Online Loan,60,False,,True,True,False,True,True,False,False,True,True,False,False,FIXED,0,0,363,30,95,5000000,10,,,150000,0,4.85,4.52,0,363,0,The Online Investor Fixed 5 Years,b3cc2924-fc8e-4439-b476-e8c3710e5948
False,0,,,,Click Loans - The Online Investor Fixed 4 Years,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,True,0,0,0,2/04/2018,Click Loans,4.7,400,True,0,The Online Loan,48,False,,True,True,False,True,True,False,False,True,True,False,False,FIXED,0,0,363,30,95,5000000,10,,,150000,0,4.85,4.52,0,363,0,The Online Investor Fixed 4 Years,61c8ea38-16ac-44fe-844e-61e1de1d62d0
False,0,,,4.29,Click Loans - The Online Home Loan Fixed 1 Year,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,,4.29,4.29,4.29,4.29,4.29,True,0,0,0,2/04/2018,Click Loans,4.1,400,True,0,The Online Loan,12,False,,True,True,False,False,True,False,True,True,True,False,False,FIXED,0,0,363,30,95,5000000,10,,,150000,0,4.29,4.04,0,363,0,The Online Home Loan Fixed 1 Year,3430c1d7-4a78-4ad1-bb0e-e7ef31c0fe1d
False,0,,,4.65,Click Loans - The Online Home Loan Fixed 4 Years,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,,4.65,4.65,4.65,4.65,4.65,True,0,0,0,2/04/2018,Click Loans,4.28,400,True,0,The Online Loan,48,False,,True,True,False,False,True,False,True,True,True,False,False,FIXED,0,0,363,30,95,5000000,10,,,150000,0,4.65,4.04,0,363,0,The Online Home Loan Fixed 4 Years,9f3e63ff-fadb-4b57-ac91-16bf7472edc2
False,0,,,4.65,Click Loans - The Online Home Loan Fixed 5 Years,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,,4.65,4.65,4.65,4.65,4.65,True,0,0,0,2/04/2018,Click Loans,4.32,400,True,0,The Online Loan,60,False,,True,True,False,False,True,False,True,True,True,False,False,FIXED,0,0,363,30,95,5000000,10,,,150000,0,4.65,4.04,0,363,0,The Online Home Loan Fixed 5 Years,279ccaae-a683-48a6-adb3-9d43085d3c0f
False,0,,,,Click Loans - The Online Investor Offset Fixed 5 Years,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,True,198,0,0,2/04/2018,Click Loans,4.91,400,True,0,The Online Offset Loan,60,False,,True,True,False,True,True,True,False,True,True,False,False,FIXED,0,0,363,30,95,5000000,10,,,150000,0,4.85,4.52,0,363,0,The Online Investor Offset Fixed 5 Years,7401fb78-bd68-4961-9064-89a6b71f1c44
False,0,,,,Click Loans - The Online Investor Offset Fixed 1 Year,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,True,198,0,0,2/04/2018,Click Loans,4.78,400,True,0,The Online Offset Loan,12,False,,True,True,False,True,True,True,False,True,True,False,False,FIXED,0,0,363,30,95,5000000,10,,,150000,0,4.49,4.52,0,363,0,The Online Investor Offset Fixed 1 Year,a4598dfe-4790-451b-b31f-49bbfa8ad2a4
